# angle in degree, angular velocity in degree/s, angular acceleration in degree/s^2
3.895135498046875000e+01 3.025833129882812500e+02 3.746795654296875000e+02
4.197718811035156250e+01 3.063301086425781250e+02 4.858016967773437500e+02
4.507795715332031250e+01 3.122993469238281250e+02 3.979492187500000000e+02
4.822317504882812500e+01 3.142890930175781250e+02 7.419021606445312500e+02
5.136373901367187500e+01 3.271373901367187500e+02 5.495834350585937500e+02
5.476592254638671875e+01 3.252807617187500000e+02 -1.597976684570312500e+02
5.786935424804687500e+01 3.239414367675781250e+02 1.729545654296875000e+03
6.124475097656250000e+01 3.598716735839843750e+02 1.574305786132812500e+03
6.506678771972656250e+01 3.554275512695312500e+02 -1.679476928710937500e+03
6.835330200195312500e+01 3.262821350097656250e+02 -1.296730102539062500e+03
7.159243011474609375e+01 3.294929504394531250e+02 3.287124633789062500e+02
7.494316101074218750e+01 3.328563842773437500e+02 -2.446548461914062500e+02
7.824955749511718750e+01 3.245998535156250000e+02 -3.854568481445312500e+02
8.143515777587890625e+01 3.251472473144531250e+02 2.109146118164062500e+02
8.475250244140625000e+01 3.288181457519531250e+02 -2.977172851562500000e+02
8.801152038574218750e+01 3.191929016113281250e+02 -9.234436035156250000e+02
9.113636016845703125e+01 3.103492736816406250e+02 -7.634735107421875000e+02
9.421850585937500000e+01 3.039234313964843750e+02 -8.108139038085937500e+02
9.721482849121093750e+01 2.941329956054687500e+02 -9.632308959960937500e+02
1.001011657714843750e+02 2.846588134765625000e+02 -7.852737426757812500e+02
1.029080047607421875e+02 2.784275207519531250e+02 -7.726669311523437500e+02
1.056697158813476562e+02 2.692054748535156250e+02 -1.012020874023437500e+03
1.082921142578125000e+02 2.581871032714843750e+02 -1.091022460937500000e+03
1.108334579467773438e+02 2.473850250244140625e+02 -1.109085083007812500e+03
1.132398147583007812e+02 2.360054016113281250e+02 -1.161422729492187500e+03
1.155535659790039062e+02 2.241565704345703125e+02 -1.473064453125000000e+03
1.177229461669921875e+02 2.065441131591796875e+02 -1.611328125000000000e+03
1.196844482421875000e+02 1.919300079345703125e+02 -1.303424804687500000e+03
1.215615463256835938e+02 1.804756164550781250e+02 -1.273231567382812500e+03
1.232939605712890625e+02 1.664653778076171875e+02 -1.369743408203125000e+03
1.248908538818359375e+02 1.530807495117187500e+02 -1.533870727539062500e+03
1.263555755615234375e+02 1.357879638671875000e+02 -1.779136718750000000e+03
1.276066131591796875e+02 1.174980163574218750e+02 -1.680870117187500000e+03
1.287055358886718750e+02 1.021705627441406250e+02 -1.609382690429687500e+03
1.296500244140625000e+02 8.531036376953125000e+01 -1.770896972656250000e+03
1.304117431640625000e+02 6.675262451171875000e+01 -1.865806640625000000e+03
1.309850769042968750e+02 4.799423217773437500e+01 -1.860313476562500000e+03
1.313716278076171875e+02 2.954635620117187500e+01 -1.881866455078125000e+03
1.315760040283203125e+02 1.035690307617187500e+01 -1.991806030273437500e+03
1.315787658691406250e+02 -1.028976440429687500e+01 -1.975212158203125000e+03
1.313702087402343750e+02 -2.914733886718750000e+01 -1.852722167968750000e+03
1.309958190917968750e+02 -4.734420776367187500e+01 -1.868400634765625000e+03
1.304233245849609375e+02 -6.651535034179687500e+01 -1.876525878906250000e+03
1.296655120849609375e+02 -8.487472534179687500e+01 -1.870765747070312500e+03
1.287258300781250000e+02 -1.039306640625000000e+02 -1.757545532226562500e+03
1.275868988037109375e+02 -1.200256347656250000e+02 -1.510429443359375000e+03
1.263253173828125000e+02 -1.341392517089843750e+02 -1.523056030273437500e+03
1.249041137695312500e+02 -1.504867553710937500e+02 -1.581535400390625000e+03
1.233155822753906250e+02 -1.657699584960937500e+02 -1.477355957031250000e+03
1.215887145996093750e+02 -1.800338745117187500e+02 -1.448974609375000000e+03
1.197149047851562500e+02 -1.947494506835937500e+02 -1.322803466796875000e+03
1.176937255859375000e+02 -2.064899444580078125e+02 -1.299762695312500000e+03
1.155851058959960938e+02 -2.207447052001953125e+02 -1.545925170898437500e+03
1.132788314819335938e+02 -2.374084472656250000e+02 -1.392307373046875000e+03
1.108369369506835938e+02 -2.485908508300781250e+02 -9.443664550781250000e+02
1.083070144653320312e+02 -2.562957763671875000e+02 -6.350524902343750000e+02
1.057110214233398438e+02 -2.612919006347656250e+02 -3.659637451171875000e+02
1.030811767578125000e+02 -2.636150512695312500e+02 -2.701950073242187500e+02
1.004387207031250000e+02 -2.666958007812500000e+02 -2.253723144531250000e+02
9.774726104736328125e+01 -2.681224975585937500e+02 -1.306152343750000000e+02
9.507627105712890625e+01 -2.693081054687500000e+02 -2.992050170898437500e+02
9.236109924316406250e+01 -2.741065979003906250e+02 -4.443542480468750000e+02
8.959413909912109375e+01 -2.781951904296875000e+02 -4.217727661132812500e+02
8.679719543457031250e+01 -2.825420532226562500e+02 -4.687500000000000000e+02
8.394329833984375000e+01 -2.875701904296875000e+02 -5.356399536132812500e+02
8.104579162597656250e+01 -2.932548522949218750e+02 -4.907424926757812500e+02
7.807820129394531250e+01 -2.973850402832031250e+02 -1.291473388671875000e+02
7.509809112548828125e+01 -2.958377990722656250e+02 5.972106933593750000e+02
7.216144561767578125e+01 -2.854408264160156250e+02 6.940277099609375000e+02
6.938927459716796875e+01 -2.819572448730468750e+02 2.159118652343750000e+01
6.652230072021484375e+01 -2.850090026855468750e+02 -1.821136474609375000e+02
6.368909454345703125e+01 -2.855995178222656250e+02 -2.182388305664062500e+02
6.081031036376953125e+01 -2.893737792968750000e+02 -4.814910888671875000e+02
5.790161895751953125e+01 -2.952293395996093750e+02 -3.577239990234375000e+02
